category,title,brand,model,ram_gb,storage_gb,algeria_min_eur,turkiye_avg_eur,gross_margin_eur,projected_our_income_eur,projected_our_income_dzd,buyer_offer_price_eur,buyer_offer_price_dzd,buyer_gain_eur,buyer_gain_percent,deal_quality,recommendation,confidence,algeria_url,turkiye_url
phone,Samsung Galaxy Z Fold 7 512GB,Samsung,Galaxy Z Fold 7,,512,956.68,1460.37,503.69,251.85,69592.33,1208.53,333953.09,251.85,20.84,medium,buy,56,https://www.ouedkniss.com/store/6442/abdou-cabba-store/annonce/55347235,"https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-galaxy-z-fold-7-512gb-sifir-kapali-kutu,magazadan-takas-plustaksit-1315574883/detay"
phone,Apple iPhone 17 Pro 256GB,Apple,iPhone 17 Pro,,256,682.31,1135.01,452.7,158.45,43783.11,840.76,232327.21,294.26,35.0,strong,buy,75,https://www.instagram.com/deghoul_haroun_telecom/reel/DYC3ptQIxYz/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-17-pro-256gb-yurtdisi-1326342645/detay
phone,Samsung Galaxy Z Fold 7 256GB,Samsung,Galaxy Z Fold 7,,256,787.0,1130.85,343.85,120.35,33255.62,907.35,250728.03,223.5,24.63,medium,buy,68,https://www.ouedkniss.com/store/6442/abdou-cabba-store/annonce/55400608,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-semers-iletisim-samsung-z-fold-7-256-gb-hafiza-1324160213/detay
console,ASUS ROG Ally X 1024GB,ASUS,ROG Ally X,,1024,430.64,770.43,339.79,118.93,32862.96,549.57,151862.68,220.86,40.19,strong,strong_buy,0.9,https://www.ouedkniss.com/consoles-rog-ally-x-1-tb-tiaret-algeria-d56292232,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-oyunculara-ozel-oyun-konsolu-asus-rog-ally-x-1tb-24-1302863404/detay
phone,Apple iPhone 17 256GB,Apple,iPhone 17,,256,501.81,751.8,249.99,62.5,17269.93,564.31,155935.78,187.49,33.23,strong,buy,75,/media/instagram/deghoul_haroun_telecom/manual_folder_images/imgi_37_696255383_1387440690087164_8159481903068963318_n.jpg,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-dip-fiyat-kapali-kutu-17-256-gb-kilif%7Ekirilmaz-hediyeli-1326402325/detay
phone,Apple iPhone 15 Pro 128GB,Apple,iPhone 15 Pro,,128,357.4,590.17,232.77,58.19,16080.33,415.59,114839.98,174.58,42.01,strong,buy,72,https://www.instagram.com/deghoul_haroun_telecom/reel/DYH92LCI0Ir/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-cinar-iletisim-den-iphone-15-pro-128gb-pil88-1325612401/detay
laptop,Apple MacBook Air 24GB RAM 512GB Apple M4 Apple Integrated,Apple,MacBook Air,24,512,1155.23,1353.07,197.84,49.46,13667.28,1204.69,332891.99,148.38,12.32,medium,good_opportunity,0.9,https://www.ouedkniss.com/macbooks-macbook-air-m4-10c-cpu-gpu-24go-512nvme-13-pouce-azerty-bab-ezzouar-alger-algeria-d54869690,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-bilgisayar-dizustu-notebook-macbook-air-garantili-15-m4-24gb-ram-512gb-sdd-sifirdan-farksiz-1325503979/detay
laptop,Apple MacBook Air 8GB RAM 256GB Apple Integrated,Apple,MacBook Air,8,256,245.49,425.91,180.42,45.11,12463.86,290.6,80301.5,135.32,46.56,strong,strong_buy,0.85,https://www.ouedkniss.com/laptop-macbook-air-13-2015-intel-core-i5-double-coeur-ram-8gb-256gb-ssd-mostaganem-algeria-d48481258,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-bilgisayar-dizustu-notebook-macbook-air-2020-8-256-kutulu-firsat-cihazi-1326992087/detay
laptop,Apple MacBook Air M1 8GB RAM 256GB Apple M1 Apple Integrated,Apple,MacBook Air M1,8,256,375.45,547.45,172.0,43.0,11882.19,418.45,115630.29,129.0,30.83,strong,strong_buy,1.0,https://www.ouedkniss.com/laptop-macbook-air-m1-8gb-ram-256gb-ssd-mostaganem-algeria-d51145846,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-bilgisayar-dizustu-notebook-temiz-macbook-air-m1-8gb-ram-256gb-3-1326967696/detay
laptop,Apple MacBook Air 16GB RAM 256GB Apple M4 Apple Integrated,Apple,MacBook Air,16,256,693.14,858.5,165.36,41.34,11423.48,734.48,202958.86,124.02,16.89,medium,good_opportunity,0.95,https://www.ouedkniss.com/laptop-macbook-air-m4-2024-argent-puce-8-core-gpu-16gb-ram-256gb-ssd-cycles-57-capacite-batterie-100-mostaganem-algeria-d39110591,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-bilgisayar-dizustu-notebook-apple-macbook-air-m2-16gb-ram-256gb-ssd-1326433657/detay
